Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8659,,"Sunday, 08 Feb, 2015", Oxford West and Abingdon,Liberal Democrats,no,no,no,survey,no,no,yes,yes
https://electionleaflets.org/leaflets/8660,,"Sunday, 08 Feb, 2015",Oxford West and Abingdon,National Health Action Party,no,no,yes,Leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8661,,"Sunday, 08 Feb, 2015","East Kilbride, Strathaven and Lesmahagow",Labour,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8662,,"Monday, 09 Feb, 2015",Darlington ,Conservative,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8663,,"Monday, 09 Feb, 2015",Cambridge,Conservative,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8664,,"Wednesday, 11 Feb, 2015",Gainsborough,Conservative,no,no,yes,survey,no,no,no,no
https://electionleaflets.org/leaflets/8665,,"Thursday, 12 Feb, 2015",Kingston upon Hull West and Hessle ,Conservative,no,no,yes,leaflet,no,yes,yes,no
https://electionleaflets.org/leaflets/8666,,"Thursday, 12 Feb, 2015",Kingston upon Hull West and Hessle,Liberal Democrats,no,no,yes,survey,no,no,no,no
https://electionleaflets.org/leaflets/8667,,"Thursday, 12 Feb, 2015"," Ross, Skye and Lochaber ",Liberal Democrats,no,no,no,Newspaper,no,no,yes,yes
https://electionleaflets.org/leaflets/8668,,"Thursday, 12 Feb, 2015",Kirkcaldy and Cowdenbeath,SNP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8669,,"Friday, 13 Feb, 2015",Oxford West and Abingdon ,Liberal Democrats,no,no,yes,leaflet,no,no,yes,no
https://electionleaflets.org/leaflets/8670,,"Saturday, 14 Feb, 2015",Bath,Liberal Democrats,no,no,yes,Letter,no,no,yes,yes
https://electionleaflets.org/leaflets/8671,,"Saturday, 14 Feb, 2015",Cambridge,Labour,yes,no,no,newsletter,no,yes,no,no
https://electionleaflets.org/leaflets/8672,"unuseable, duplicate of 8672",,,,,,,,,,,
